symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
cake,PancakeSwap,4.61,658302952,67,3457914547,31947204.0,4.67,4.57,0.03,0.7463,-20715357.47,-3.0508,142781785.75,335680613.787207,750000000.0,43.96,-89.51,2021-04-30 10:08:22.934000 UTC,0.19,2271.53,2020-11-03 14:29:34.165000 UTC,2022-10-18 03:04:48.005000 UTC
gt,Gate,4.46,649504038,68,,2111022.0,4.48,4.41,0.02,0.4439,4959428.0,0.7694,145377816.68,300000000.0,,12.94,-65.48,2021-05-12 11:39:16.531000 UTC,0.26,1634.76,2020-03-13 02:18:02.481000 UTC,2022-10-18 03:05:49.448000 UTC
cdai,cDAI,0.02,636993649,69,,140.2,0.02,0.02,0.0,0.0718,8265989.0,1.3147,28855175444.71,28855175444.7141,,0.03,-30.12,2020-10-12 21:29:00.007000 UTC,0.01,202.88,2020-03-18 04:29:40.819000 UTC,2022-10-18 03:04:46.183000 UTC
grt,The Graph,0.09,633953395,70,856662155,20601829.0,0.09,0.08,0.0,0.9379,5371721.0,0.8546,7400273157.0,10000000000.0,10000000000.0,2.84,-96.99,2021-02-12 07:28:45.775000 UTC,0.08,7.22,2022-10-13 10:37:40.379000 UTC,2022-10-18 03:04:55.222000 UTC
hnt,Helium,4.57,595956635,71,1017471525,2681613.0,4.62,4.5,0.05,1.1474,6829521.0,1.1593,130616264.27,223000000.0,223000000.0,54.88,-91.69,2021-11-12 23:08:25.301000 UTC,0.11,3928.92,2020-04-18 00:19:10.902000 UTC,2022-10-18 03:04:37.838000 UTC
osmo,Osmosis,1.22,567055748,72,1217533360,10505601.0,1.24,1.18,0.04,2.9693,15219025.0,2.7579,465741446.0,325000000.0,1000000000.0,11.25,-89.15,2022-03-04 05:12:18.707000 UTC,0.68,79.44,2022-06-18 20:27:33.261000 UTC,2022-10-18 03:04:53.603000 UTC
neo,NEO,8.0,564514894,73,,18382849.0,8.1,7.82,0.16,2.0597,12825866.0,2.3248,70530000.0,100000000.0,,198.38,-95.97,2018-01-15 00:00:00.000000 UTC,0.08,10115.65,2016-10-21 00:00:00.000000 UTC,2022-10-18 03:04:55.438000 UTC
snx,Synthetix Network,2.31,554052135,74,698105742,65414813.0,2.39,2.26,0.04,1.6815,8249324.0,1.5114,240053020.83,302466829.088774,302466829.088774,28.53,-91.91,2021-02-14 01:12:38.505000 UTC,0.03,6534.89,2019-01-06 00:00:00.000000 UTC,2022-10-18 03:04:34.250000 UTC
ceth,cETH,26.7,553403124,75,,11.96,26.84,26.06,0.64,2.4573,11739643.0,2.1673,20723176.67,20723176.6709124,,97.75,-72.68,2021-11-21 12:39:57.508000 UTC,1.89,1315.72,2020-03-13 02:22:33.711000 UTC,2022-10-18 03:01:47.753000 UTC
evmos,Evmos,1.69,546143644,76,,2160351.0,1.72,1.57,0.11,7.0827,36131178.0,7.0844,324391777.42,1000000000.0,,6.84,-75.32,2022-04-28 21:20:31.780000 UTC,1.12,50.99,2022-06-13 10:08:39.859000 UTC,2022-10-18 03:05:58.410000 UTC
ftm,Fantom,0.21,538885928,77,673301845,83367439.0,0.21,0.21,0.01,2.8343,15420107.0,2.9458,2541152731.01,3175000000.0,3175000000.0,3.46,-93.87,2021-10-28 05:19:39.845000 UTC,0.0,11047.92,2020-03-13 02:25:38.280000 UTC,2022-10-18 03:05:59.247000 UTC
